,model,alpha,length,loc_error,num_traj,eduN,UPV-MAT,FCI,UCL,Erasmus MC,Anomalous Unicorns,DecBayComp,NOA,QuBI,DeepSPT,WUST ML B,WUST ML A,BIT,TSA
224,sbm,0.8500000000000001,360,10.0,21,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.7619047619047619,0.38095238095238093,0.6190476190476191,0.42857142857142855,0.2857142857142857,0.19047619047619047,0.42857142857142855
225,sbm,1.05,360,1.0,15,0.8666666666666667,0.8000000000000002,0.8000000000000002,0.9333333333333333,0.9333333333333333,0.8000000000000002,0.6,0.7333333333333333,0.6666666666666666,0.8000000000000002,0.5333333333333333,0.4000000000000001,0.3333333333333333,0.20000000000000004
226,sbm,1.05,360,2.0,5,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.6,0.8000000000000002,1.0,1.0,0.6,0.8000000000000002,1.0,1.0,0.4000000000000001,0.6,0.6
227,sbm,1.05,360,10.0,16,0.8125,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.9375,0.6875,0.6875,0.6875,0.625
228,sbm,1.2500000000000002,360,1.0,15,0.9333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.9333333333333333,0.6666666666666666,0.5333333333333333,0.8666666666666667,0.8000000000000002,0.13333333333333333,0.5333333333333333,0.0,0.26666666666666666
229,sbm,1.2500000000000002,360,2.0,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,1.0,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.6666666666666666
230,sbm,1.2500000000000002,360,10.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7857142857142857
231,sbm,1.4500000000000002,360,1.0,27,0.9629629629629629,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,0.7777777777777778,0.7407407407407407,0.8518518518518519,0.8888888888888888,0.5185185185185185,0.5925925925925926,0.5185185185185185,0.25925925925925924
232,sbm,1.4500000000000002,360,2.0,20,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9500000000000001,1.0,1.0,0.9,0.75,0.75,0.55
233,sbm,1.4500000000000002,360,10.0,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,0.8823529411764706,0.7647058823529412,0.8823529411764706,0.6470588235294118
234,sbm,1.6500000000000001,360,1.0,4,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.75,0.75,0.5,0.25,0.5,0.5
235,sbm,1.6500000000000001,360,2.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.6428571428571429
236,sbm,1.6500000000000001,360,10.0,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.8333333333333334,0.75,1.0,0.9166666666666666
237,sbm,1.85,360,1.0,13,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.7692307692307693,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.46153846153846156,0.46153846153846156
238,sbm,1.85,360,2.0,13,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,0.6923076923076923,0.8461538461538461,0.7692307692307693
239,sbm,1.85,360,10.0,10,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
240,sbm,0.05,410,1.0,22,0.7272727272727273,0.6818181818181818,0.5909090909090909,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.6818181818181818,0.7272727272727273,0.5,0.5,0.5454545454545454,0.5909090909090909,0.45454545454545453,0.5909090909090909
241,sbm,0.05,410,2.0,24,0.8333333333333334,0.8333333333333334,0.75,0.7916666666666666,0.625,0.75,0.7916666666666666,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.5416666666666666,0.6666666666666666,0.375,0.6666666666666666
242,sbm,0.05,410,10.0,15,0.8666666666666667,0.8666666666666667,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666,0.4000000000000001,0.4666666666666667,0.6,0.4666666666666667
243,sbm,0.25,410,1.0,20,0.9500000000000001,0.9500000000000001,0.9,0.85,0.9,0.75,0.9,0.85,0.8000000000000002,0.8000000000000002,0.5,0.9,0.7,0.55
244,sbm,0.25,410,2.0,25,0.96,0.96,0.96,0.92,0.88,0.76,0.92,0.88,0.92,0.8000000000000002,0.68,0.8000000000000002,0.64,0.56
