,model,alpha,length,loc_error,num_traj,eduN,UCL,FCI,UPV-MAT,Erasmus MC,WUST ML A,WUST ML B,BIT,DecBayComp,Valencian Karatekas
226,sbm,1.85,160,2.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
227,sbm,1.85,160,5.5,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5
228,sbm,1.85,160,6.0,4,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.0,0.0
229,sbm,1.85,160,10.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
230,sbm,0.05,210,1.0,4,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.5,0.25,0.0
231,sbm,0.05,210,1.5,3,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
232,sbm,0.05,210,2.0,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
233,sbm,0.05,210,5.5,10,0.7,0.7,0.5,0.6,0.5,0.6,0.6,0.4000000000000001,0.4000000000000001,0.20000000000000004
234,sbm,0.05,210,6.0,6,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.5,0.3333333333333333,0.0
235,sbm,0.05,210,10.0,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
236,sbm,0.25,210,1.0,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
237,sbm,0.25,210,1.5,2,1.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.0,0.0
238,sbm,0.25,210,2.0,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
239,sbm,0.25,210,5.5,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.5,0.8333333333333334,0.0,0.16666666666666666
240,sbm,0.25,210,6.0,12,1.0,0.9166666666666666,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.5,0.5833333333333334,0.25
241,sbm,0.25,210,10.0,4,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.0
242,sbm,0.45,210,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
243,sbm,0.45,210,1.5,11,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.36363636363636365
244,sbm,0.45,210,2.0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.0
245,sbm,0.45,210,5.5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.8000000000000002,0.4000000000000001,0.6,0.20000000000000004
246,sbm,0.45,210,6.0,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.3076923076923077
247,sbm,0.45,210,10.0,3,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
248,sbm,0.6500000000000001,210,1.0,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333
249,sbm,0.6500000000000001,210,1.5,8,0.875,0.75,0.875,0.625,0.75,0.875,0.625,0.25,0.5,0.125
250,sbm,0.6500000000000001,210,2.0,2,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.5
251,sbm,0.6500000000000001,210,5.5,7,0.8571428571428571,1.0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285
252,sbm,0.6500000000000001,210,6.0,11,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.09090909090909091
253,sbm,0.6500000000000001,210,10.0,4,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.5,0.0
254,sbm,0.8500000000000001,210,1.0,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
255,sbm,0.8500000000000001,210,1.5,7,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.14285714285714285
256,sbm,0.8500000000000001,210,2.0,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666
257,sbm,0.8500000000000001,210,5.5,7,0.8571428571428571,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,0.14285714285714285
258,sbm,0.8500000000000001,210,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
259,sbm,0.8500000000000001,210,10.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.5
260,sbm,1.05,210,1.0,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0
261,sbm,1.05,210,1.5,4,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.0,0.0,0.0
262,sbm,1.05,210,2.0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
263,sbm,1.05,210,5.5,6,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.5,0.8333333333333334,0.0,0.16666666666666666
264,sbm,1.05,210,6.0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
265,sbm,1.05,210,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
266,sbm,1.2500000000000002,210,1.0,2,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0
267,sbm,1.2500000000000002,210,1.5,2,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0
268,sbm,1.2500000000000002,210,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
269,sbm,1.2500000000000002,210,5.5,9,1.0,1.0,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.5555555555555556,1.0,0.0,0.2222222222222222
270,sbm,1.2500000000000002,210,6.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666
271,sbm,1.2500000000000002,210,10.0,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0
272,sbm,1.4500000000000002,210,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333
273,sbm,1.4500000000000002,210,1.5,3,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333
274,sbm,1.4500000000000002,210,2.0,5,1.0,1.0,1.0,1.0,1.0,0.8000000000000002,0.8000000000000002,0.4000000000000001,0.20000000000000004,0.20000000000000004
275,sbm,1.4500000000000002,210,5.5,7,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.0,0.0
276,sbm,1.4500000000000002,210,6.0,4,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.75
277,sbm,1.4500000000000002,210,10.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0
278,sbm,1.6500000000000001,210,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
279,sbm,1.6500000000000001,210,1.5,3,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
280,sbm,1.6500000000000001,210,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
281,sbm,1.6500000000000001,210,5.5,4,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.0
282,sbm,1.6500000000000001,210,6.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,0.5
283,sbm,1.6500000000000001,210,10.0,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333
284,sbm,1.85,210,1.0,4,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25
285,sbm,1.85,210,1.5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0
286,sbm,1.85,210,2.0,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
287,sbm,1.85,210,5.5,5,0.8000000000000002,1.0,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.4000000000000001,0.6,1.0,0.0,0.4000000000000001
288,sbm,1.85,210,6.0,6,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,0.0,0.0
289,sbm,1.85,210,10.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333
290,sbm,0.05,260,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0
291,sbm,0.05,260,1.5,7,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.14285714285714285
292,sbm,0.05,260,2.0,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
293,sbm,0.05,260,5.5,12,0.9166666666666666,1.0,0.5833333333333334,0.9166666666666666,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25
294,sbm,0.05,260,6.0,6,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.5,0.5,0.16666666666666666,0.16666666666666666
295,sbm,0.05,260,10.0,6,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
296,sbm,0.25,260,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
297,sbm,0.25,260,1.5,6,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334
298,sbm,0.25,260,2.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
299,sbm,0.25,260,5.5,7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.0
300,sbm,0.25,260,6.0,9,1.0,0.8888888888888888,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.5555555555555556,0.2222222222222222
301,sbm,0.25,260,10.0,4,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.25,0.0
302,sbm,0.45,260,1.0,5,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4000000000000001,0.20000000000000004,0.8000000000000002
303,sbm,0.45,260,1.5,9,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.3333333333333333
304,sbm,0.45,260,2.0,4,1.0,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.25,0.75
305,sbm,0.45,260,5.5,7,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.14285714285714285
306,sbm,0.45,260,6.0,2,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
