,model,alpha,length,loc_error,num_traj,UCL,eduN,UPV-MAT,Erasmus MC,WUST ML A,WUST ML B,BIT
1019,sbm,0.05,710,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1020,sbm,0.05,710,1.33,2,0.5,1.0,1.0,1.0,0.5,0.5,0.0
1021,sbm,0.05,710,1.67,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1022,sbm,0.05,710,2.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1023,sbm,0.05,710,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,sbm,0.05,710,4.33,6,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.16666666666666666
1025,sbm,0.05,710,4.67,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1026,sbm,0.05,710,7.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1027,sbm,0.05,710,7.33,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1028,sbm,0.05,710,10.0,2,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1029,sbm,0.25,710,1.33,4,1.0,1.0,1.0,0.75,1.0,0.75,0.75
1030,sbm,0.25,710,1.67,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1031,sbm,0.25,710,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1032,sbm,0.25,710,4.0,2,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1033,sbm,0.25,710,4.33,6,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
1034,sbm,0.25,710,4.67,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1035,sbm,0.25,710,7.0,5,1.0,1.0,0.8000000000000002,1.0,1.0,0.6,0.0
1036,sbm,0.25,710,7.33,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1037,sbm,0.45,710,1.33,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1038,sbm,0.45,710,1.67,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1039,sbm,0.45,710,2.0,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1040,sbm,0.45,710,4.0,2,0.5,1.0,1.0,0.5,0.5,0.5,1.0
1041,sbm,0.45,710,4.33,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1042,sbm,0.45,710,4.67,4,1.0,1.0,1.0,1.0,0.75,0.5,1.0
1043,sbm,0.45,710,7.0,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5
1044,sbm,0.45,710,7.33,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1045,sbm,0.6500000000000001,710,1.33,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.0
1046,sbm,0.6500000000000001,710,4.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
1047,sbm,0.6500000000000001,710,4.33,5,1.0,1.0,1.0,1.0,0.8000000000000002,0.4000000000000001,0.0
1048,sbm,0.6500000000000001,710,7.0,2,0.5,0.5,1.0,0.5,0.5,0.0,0.0
1049,sbm,0.6500000000000001,710,7.33,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1050,sbm,0.6500000000000001,710,10.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1051,sbm,0.8500000000000001,710,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1052,sbm,0.8500000000000001,710,1.33,5,0.6,1.0,1.0,0.8000000000000002,0.6,0.4000000000000001,0.20000000000000004
1053,sbm,0.8500000000000001,710,2.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1054,sbm,0.8500000000000001,710,4.33,7,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,0.42857142857142855,0.14285714285714285
1055,sbm,0.8500000000000001,710,4.67,6,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
1056,sbm,0.8500000000000001,710,7.0,5,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.4000000000000001
1057,sbm,0.8500000000000001,710,7.33,2,0.5,0.5,0.5,0.5,0.5,0.5,0.0
1058,sbm,1.05,710,1.33,2,1.0,1.0,1.0,1.0,0.5,0.0,0.5
1059,sbm,1.05,710,1.67,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1060,sbm,1.05,710,4.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
1061,sbm,1.05,710,4.33,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666
1062,sbm,1.05,710,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1063,sbm,1.05,710,7.33,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1064,sbm,1.2500000000000002,710,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1065,sbm,1.2500000000000002,710,1.33,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
1066,sbm,1.2500000000000002,710,1.67,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1067,sbm,1.2500000000000002,710,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1068,sbm,1.2500000000000002,710,4.0,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1069,sbm,1.2500000000000002,710,7.0,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1070,sbm,1.2500000000000002,710,7.33,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1071,sbm,1.4500000000000002,710,1.33,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1072,sbm,1.4500000000000002,710,1.67,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1073,sbm,1.4500000000000002,710,4.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1074,sbm,1.4500000000000002,710,4.33,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1075,sbm,1.4500000000000002,710,4.67,5,1.0,1.0,1.0,1.0,0.6,0.8000000000000002,1.0
1076,sbm,1.4500000000000002,710,7.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
